b'id',b'key',b'value',b'type'
b'90799768',b'highway',b'turning_circle',b'regular'
b'90800590',b'highway',b'stop',b'regular'
b'90800594',b'highway',b'stop',b'regular'
b'90810816',b'highway',b'traffic_signals',b'regular'
b'90812010',b'ref',b'200A',b'regular'
b'90812010',b'highway',b'motorway_junction',b'regular'
b'90812027',b'highway',b'traffic_signals',b'regular'
b'90816834',b'power',b'tower',b'regular'
b'90816842',b'power',b'tower',b'regular'
b'90832659',b'power',b'tower',b'regular'
b'90839926',b'ref',b'201',b'regular'
b'90839926',b'highway',b'motorway_junction',b'regular'
b'90878190',b'highway',b'turning_circle',b'regular'
b'90891067',b'ref',b'204',b'regular'
b'90891067',b'highway',b'motorway_junction',b'regular'
b'90893151',b'highway',b'turning_circle',b'regular'
b'90893684',b'ref',b'203D',b'regular'
b'90893684',b'highway',b'motorway_junction',b'regular'
b'90917356',b'power',b'tower',b'regular'
b'90917361',b'power',b'tower',b'regular'
b'90917373',b'power',b'tower',b'regular'
b'90917375',b'power',b'tower',b'regular'
b'90926052',b'ref',b'201',b'regular'
b'90926052',b'highway',b'motorway_junction',b'regular'
b'90926058',b'highway',b'traffic_signals',b'regular'
b'90930666',b'highway',b'turning_circle',b'regular'
b'90936586',b'ref',b'203C',b'regular'
b'90936586',b'highway',b'motorway_junction',b'regular'
b'90968414',b'highway',b'stop',b'regular'
b'90993046',b'barrier',b'bollard',b'regular'
b'91003866',b'highway',b'turning_circle',b'regular'
b'91027157',b'ref',b'202A',b'regular'
b'91027157',b'highway',b'motorway_junction',b'regular'
b'91037876',b'ref',b'203B',b'regular'
b'91037876',b'highway',b'motorway_junction',b'regular'
b'91057448',b'ref',b'200B',b'regular'
b'91057448',b'highway',b'motorway_junction',b'regular'
b'91063543',b'barrier',b'gate',b'regular'
b'91076440',b'power',b'tower',b'regular'
b'91076441',b'power',b'tower',b'regular'
b'91076442',b'power',b'tower',b'regular'
b'91108678',b'ref',b'203A',b'regular'
b'91108678',b'highway',b'motorway_junction',b'regular'
b'91109499',b'highway',b'stop',b'regular'
b'91119579',b'power',b'tower',b'regular'
b'91142800',b'highway',b'stop',b'regular'
b'91152944',b'highway',b'traffic_signals',b'regular'
b'91152961',b'ref',b'200',b'regular'
b'91152961',b'highway',b'motorway_junction',b'regular'
b'91164608',b'ref',b'203C',b'regular'
b'91164608',b'highway',b'motorway_junction',b'regular'
b'91174831',b'highway',b'traffic_signals',b'regular'
b'91186464',b'barrier',b'gate',b'regular'
b'91197713',b'ref',b'202B',b'regular'
b'91197713',b'highway',b'motorway_junction',b'regular'
b'91204344',b'ref',b'204',b'regular'
b'91204344',b'highway',b'motorway_junction',b'regular'
b'91212156',b'ref',b'203B',b'regular'
b'91212156',b'highway',b'motorway_junction',b'regular'
b'91228302',b'highway',b'turning_circle',b'regular'
b'91231605',b'highway',b'turning_circle',b'regular'
b'91231925',b'highway',b'turning_circle',b'regular'
b'91237077',b'highway',b'turning_circle',b'regular'
b'91238309',b'highway',b'traffic_signals',b'regular'
b'91239385',b'highway',b'turning_circle',b'regular'
b'91239499',b'highway',b'turning_circle',b'regular'
b'91243996',b'highway',b'stop',b'regular'
b'91245441',b'highway',b'turning_circle',b'regular'
